,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,-134400000.0,0.0,0.0,
Tax Rate For Calcs,0.073,0.064,0.111,0.058806,
Total Unusual Items,,-2100000000.0,,,
Total Unusual Items Excluding Goodwill,,-2100000000.0,,,
Net Income From Continuing Operation Net Minority Interest,27132000000.0,26515000000.0,27528000000.0,31978000000.0,
Reconciled Depreciation,2189000000.0,2057000000.0,1978000000.0,1898000000.0,
Net Interest Income,56060000000.0,56931000000.0,52462000000.0,42934000000.0,
Interest Expense,90547000000.0,73331000000.0,20103000000.0,4738000000.0,
Interest Income,146607000000.0,130262000000.0,72565000000.0,47672000000.0,
Normalized Income,27132000000.0,28480600000.0,27528000000.0,31978000000.0,
Net Income From Continuing And Discontinued Operation,27132000000.0,26515000000.0,27528000000.0,31978000000.0,
Diluted Average Shares,7935800000.0,8080500000.0,8167500000.0,8558400000.0,
Basic Average Shares,7855500000.0,8028600000.0,8113700000.0,8493300000.0,
Diluted EPS,3.21,3.08,3.19,3.57,
Basic EPS,3.25,3.1,3.21,3.6,
Diluted NI Availto Com Stockholders,25503000000.0,24866000000.0,26015000000.0,30557000000.0,
Net Income Common Stockholders,25503000000.0,24866000000.0,26015000000.0,30557000000.0,
Otherunder Preferred Stock Dividend,,,1513000000.0,1421000000.0,1421000000.0
Preferred Stock Dividends,1629000000.0,1649000000.0,1513000000.0,1421000000.0,
Net Income,27132000000.0,26515000000.0,27528000000.0,31978000000.0,
Net Income Including Noncontrolling Interests,27132000000.0,26515000000.0,27528000000.0,31978000000.0,
Net Income Continuous Operations,27132000000.0,26515000000.0,27528000000.0,31978000000.0,
Tax Provision,2122000000.0,1827000000.0,3441000000.0,1998000000.0,
Pretax Income,29254000000.0,28342000000.0,30969000000.0,33976000000.0,
Special Income Charges,,-2100000000.0,,,
Other Special Charges,,2100000000.0,,,
Gain On Sale Of Security,0.0,0.0,0.0,0.0,
Selling General And Administration,49623000000.0,47715000000.0,45946000000.0,45049000000.0,
Selling And Marketing Expense,5450000000.0,5535000000.0,5478000000.0,5820000000.0,
General And Administrative Expense,44173000000.0,42180000000.0,40468000000.0,39229000000.0,
Other Gand A,3991000000.0,3850000000.0,4021000000.0,3089000000.0,
Salaries And Wages,40182000000.0,38330000000.0,36447000000.0,36140000000.0,
Total Revenue,101887000000.0,98581000000.0,94950000000.0,89113000000.0,
Operating Revenue,101887000000.0,98581000000.0,94950000000.0,89113000000.0,
Occupancy And Equipment,7289000000.0,7164000000.0,7071000000.0,7138000000.0,
Professional Expense And Contract Services Expense,2669000000.0,2159000000.0,2142000000.0,1775000000.0,
Other Non Interest Expense,7231000000.0,6707000000.0,6279000000.0,5769000000.0,
