取引月,商品,出来高
202301,10,0
202301,70,0
202301,75,0
202301,80,0
202302,10,0
202302,70,0
202302,75,0
202302,80,0
202303,10,0
202303,70,0
202303,75,0
202303,80,0
202303,91,5164
202303,93,13
202303,95,7
202304,10,0
202304,70,0
202304,75,0
202304,80,0
202304,91,28752
202304,93,13
202304,95,207
202305,10,0
202305,70,0
202305,75,0
202305,80,0
202305,91,48565
202305,93,87
202305,95,402
202306,10,0
202306,70,0
202306,75,0
202306,80,0
202306,91,81438
202306,93,800
202306,95,629
202307,10,0
202307,70,0
202307,75,0
202307,80,0
202307,91,56445
202307,93,254
202307,95,900
202308,10,0
202308,70,0
202308,75,0
202308,80,0
202308,91,92652
202308,93,323
202308,95,1808
202309,10,0
202309,70,0
202309,75,0
202309,80,0
202309,91,116909
202309,93,1231
202309,95,3774
202310,10,0
202310,70,0
202310,75,0
202310,80,0
202310,91,122559
202310,93,683
202310,95,958
202311,10,0
202311,70,0
202311,75,0
202311,80,0
202311,91,133480
202311,93,419
202311,95,2989
202312,10,0
202312,70,0
202312,75,0
202312,91,181456
202312,93,25
202312,95,875
